date	agent name	num calls handled	num calls unanswered	avg call time	total talk time	total staffed time	filename
2017-04-18	Back Office1	37	10	0 days 00:01:53.000000000	0 days 00:50:40.000000000	1 days 00:00:00.000000000	20170418_000000_agent_statistics.csv
2017-04-19	Reception L1	64	41	0 days 00:03:02.000000000	0 days 02:13:32.000000000	1 days 00:00:00.000000000	20170419_000000_agent_statistics.csv
2017-04-19	Back Office3	67	46	0 days 00:01:52.000000000	0 days 01:49:13.000000000	1 days 00:00:00.000000000	20170419_000000_agent_statistics.csv
2017-04-19	Reception Desk	44	26	0 days 00:03:02.000000000	0 days 01:31:31.000000000	1 days 00:00:00.000000000	20170419_000000_agent_statistics.csv
2017-04-19	Back Office1	11	7	0 days 00:02:43.000000000	0 days 00:26:57.000000000	1 days 00:00:00.000000000	20170419_000000_agent_statistics.csv
2017-04-20	Reception L1	84	50	0 days 00:02:53.000000000	0 days 02:50:15.000000000	1 days 00:00:00.000000000	20170420_000000_agent_statistics.csv
2017-04-20	Back Office3	53	69	0 days 00:02:04.000000000	0 days 01:21:40.000000000	1 days 00:00:00.000000000	20170420_000000_agent_statistics.csv
2017-04-20	Reception Desk	65	33	0 days 00:02:44.000000000	0 days 01:59:17.000000000	1 days 00:00:00.000000000	20170420_000000_agent_statistics.csv
2017-04-20	Back Office1	11	1	0 days 00:03:18.000000000	0 days 00:27:37.000000000	1 days 00:00:00.000000000	20170420_000000_agent_statistics.csv
2017-04-21	Reception L1	73	76	0 days 00:02:35.000000000	0 days 02:07:27.000000000	1 days 00:00:00.000000000	20170421_000000_agent_statistics.csv
2017-04-21	Back Office3	28	62	0 days 00:02:12.000000000	0 days 00:45:40.000000000	1 days 00:00:00.000000000	20170421_000000_agent_statistics.csv
2017-04-21	Reception Desk	52	41	0 days 00:03:37.000000000	0 days 01:54:27.000000000	1 days 00:00:00.000000000	20170421_000000_agent_statistics.csv
2017-04-21	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170421_000000_agent_statistics.csv
2017-04-22	Reception L1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170422_000000_agent_statistics.csv
2017-04-22	Back Office3	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170422_000000_agent_statistics.csv
2017-04-22	Reception Desk	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170422_000000_agent_statistics.csv
2017-04-22	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170422_000000_agent_statistics.csv
2017-04-23	Reception L1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170423_000000_agent_statistics.csv
2017-04-23	Back Office3	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170423_000000_agent_statistics.csv
2017-04-23	Reception Desk	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170423_000000_agent_statistics.csv
2017-04-23	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170423_000000_agent_statistics.csv
2017-04-24	Reception L1	100	72	0 days 00:02:30.000000000	0 days 02:53:44.000000000	1 days 00:00:00.000000000	20170424_000000_agent_statistics.csv
2017-04-24	Back Office3	68	100	0 days 00:02:07.000000000	0 days 01:56:00.000000000	1 days 00:00:00.000000000	20170424_000000_agent_statistics.csv
2017-04-24	Reception Desk	86	41	0 days 00:02:42.000000000	0 days 02:42:43.000000000	1 days 00:00:00.000000000	20170424_000000_agent_statistics.csv
2017-04-24	Back Office1	26	7	0 days 00:02:27.000000000	0 days 00:45:28.000000000	1 days 00:00:00.000000000	20170424_000000_agent_statistics.csv
2017-04-25	Reception L1	30	40	0 days 00:01:51.000000000	0 days 00:43:44.000000000	1 days 00:00:00.000000000	20170425_000000_agent_statistics.csv
2017-04-25	Back Office3	44	19	0 days 00:02:04.000000000	0 days 01:09:53.000000000	1 days 00:00:00.000000000	20170425_000000_agent_statistics.csv
2017-04-25	Reception Desk	18	3	0 days 00:03:20.000000000	0 days 00:36:35.000000000	1 days 00:00:00.000000000	20170425_000000_agent_statistics.csv
2017-04-25	Back Office1	20	6	0 days 00:01:27.000000000	0 days 00:24:22.000000000	1 days 00:00:00.000000000	20170425_000000_agent_statistics.csv
2017-04-26	Reception L1	75	76	0 days 00:02:36.000000000	0 days 02:17:30.000000000	1 days 00:00:00.000000000	20170426_000000_agent_statistics.csv
2017-04-26	Back Office3	60	49	0 days 00:01:46.000000000	0 days 01:25:42.000000000	1 days 00:00:00.000000000	20170426_000000_agent_statistics.csv
2017-04-26	Reception Desk	55	31	0 days 00:03:22.000000000	0 days 02:09:22.000000000	1 days 00:00:00.000000000	20170426_000000_agent_statistics.csv
2017-04-26	Back Office1	4	2	0 days 00:02:05.000000000	0 days 00:05:53.000000000	1 days 00:00:00.000000000	20170426_000000_agent_statistics.csv
2017-04-27	Reception L1	58	50	0 days 00:01:32.000000000	0 days 01:14:17.000000000	1 days 00:00:00.000000000	20170427_000000_agent_statistics.csv
2017-04-27	Back Office3	47	61	0 days 00:01:58.000000000	0 days 01:09:16.000000000	1 days 00:00:00.000000000	20170427_000000_agent_statistics.csv
2017-04-27	Reception Desk	43	44	0 days 00:01:54.000000000	0 days 01:04:01.000000000	1 days 00:00:00.000000000	20170427_000000_agent_statistics.csv
2017-04-27	Back Office1	17	3	0 days 00:01:47.000000000	0 days 00:24:51.000000000	1 days 00:00:00.000000000	20170427_000000_agent_statistics.csv
2017-05-01	Reception L1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170501_000000_agent_statistics.csv
